0000: SR

1000: R0
1004: R1
1008: R2
100c: R3
1010: R4
1014: R5
1018: R6
101c: R7
1020: R8
1024: R9
1028: R10
102c: R11
1030: R12
1034: SP
1038: LR


1100: C
1101: Z
1102: N
1103: V
1104: Q
110e: T
1110: GM
110f: R
1111: I0M
1112: I1M
1113: I2M
1114: I3M
1115: EM
1116: M0
1117: M1
111a: D
111b: DM
111c: J

1300: ctx_rel10
1300: ctx_rel0_16
1300: ctx_rel8_2
1300: ctx_rel3
1300: ctx_rel21
1300: ctx_rel0_8
1300: ctx_rel17_4
1300: ctx_shift
1300: ctx_rel16_1
1300: ctx_coop
1300: ctx_savey
1300: ctx_colow
1300: ctx_comid
1301: ctx_rdplus
