uncovered function                                   |  field                                      |  usage

80021898	csp_can_tx                               |  csp_iface_t.nexthop                        |  800206c6  csp_send_direct  ICALL R8
80021dbc	csp_i2c_tx                               |  csp_iface_t.nexthop                        |  800206c6  csp_send_direct  ICALL R8
80021e8c	csp_lo_tx                                |  csp_iface_t.nexthop                        |  800206c6  csp_send_direct  ICALL R8


8001ee04	gs_csp_can_rxdata_callback_isr           |  can_driver_if_inst_t.rx_callback           |  80028882 can_mbox_rx ICALL R6
8001eeb0	gs_csp_i2c_rxdata_callback_isr           |  can_driver_if_inst_t.rx_callback           |  80028882 can_mbox_rx ICALL R6

8001ee9c	gs_csp_i2c_get_buffer                    |  i2c.get_buf_callback                       |  80029de6 I2C_DSR ICALL R8

8001f660	gs_csp_cmp_service_handler               |  gs_csp_service_dispatcher_conf_t.handlers  |  8001f4a6 service_dispatcher_task ICALL R8
8001f624	gs_csp_mem_free_service_handler          |  gs_csp_service_dispatcher_conf_t.handlers  |  8001f4a6 service_dispatcher_task ICALL R8
8001f64c	gs_csp_ping_service_handler              |  gs_csp_service_dispatcher_conf_t.handlers  |  8001f4a6 service_dispatcher_task ICALL R8
8001f638	gs_csp_ps_service_handler                |  gs_csp_service_dispatcher_conf_t.handlers  |  8001f4a6 service_dispatcher_task ICALL R8
8001f610	gs_csp_reboot_service_handler            |  gs_csp_service_dispatcher_conf_t.handlers  |  8001f4a6 service_dispatcher_task ICALL R8
8001f5e8	gs_csp_uptime_service_handler            |  gs_csp_service_dispatcher_conf_t.handlers  |  8001f4a6 service_dispatcher_task ICALL R8

800387f8	__sseek                                  |  __FILE._seek                               |  80036514 _fflush_r	ICALL R8
800387f8	__sseek                                  |  __FILE._seek                               |  80036558 _fflush_r	ICALL R8

800310cc	command_complete                         |  private_context_t.process                  |  80030c0c command_process ICALL R8
80030df4	command_execute                          |  private_context_t.process                  |  80030c0c command_process ICALL R8
80030e90	command_help                             |  private_context_t.process                  |  80030c0c command_process ICALL R8

