target_address	target_name	field	store_address	store_function	field_use_address	field_use_function	icall_address	icall_text	context	kind
8001ee04	gs_csp_can_rxdata_callback_isr	gs_can_set_extended_filter_mask.arg4	8001ed28	gs_csp_can_init2		can_mbox_rx	80028882	ICALL R6	uVar3 = (*(code *)PTR_gs_can_set_extended_filter_mask_8001ed94) (param_1,(uVar6 & 0x1f) << 0x13,0xf80000, PTR_gs_csp_can_rxdata_callback_isr_8001ed90,0); | (*(code *)*puVar1)(param_1,*(uint *)(param_2 * 0x10 + *(int *)(iVar2 * 8 + -0x2e400)) & 0x1fffffff,1,*(int *)(iVar2 * 8 + -0x2e400) + param_2 * 0x10 + 8, *(uint *)(param_2 * 0xc + iVar2 * 8 + -0x2e3ac) & 0xf,0,puVar1[1],param_3);	can_filter_callback_to_icall
8001ee9c	gs_csp_i2c_get_buffer									no_usage_chain_found
8001eeb0	gs_csp_i2c_rxdata_callback_isr									no_usage_chain_found
8001f5e8	gs_csp_uptime_service_handler									no_usage_chain_found
8001f610	gs_csp_reboot_service_handler									no_usage_chain_found
8001f624	gs_csp_mem_free_service_handler									no_usage_chain_found
8001f638	gs_csp_ps_service_handler									no_usage_chain_found
8001f64c	gs_csp_ping_service_handler									no_usage_chain_found
8001f660	gs_csp_cmp_service_handler									no_usage_chain_found
8001f674	uptime	call_csp_packet_handler.arg2	8001f5ea	gs_csp_uptime_service_handler		call_csp_packet_handler	8001f5c8	ICALL R6	(*(code *)PTR_call_csp_packet_handler_8001f5f8)(param_1,PTR_uptime_8001f5f4); | (*param_2)(param_1,uVar1);	callback_arg_to_icall
8001f6cc	memfree	call_csp_packet_handler.arg2	8001f626	gs_csp_mem_free_service_handler		call_csp_packet_handler	8001f5c8	ICALL R6	(*(code *)PTR_call_csp_packet_handler_8001f634)(param_1,PTR_memfree_8001f630); | (*param_2)(param_1,uVar1);	callback_arg_to_icall
80020f80	csp_service_handler	call_csp_packet_handler.arg2	8001f662	gs_csp_cmp_service_handler		call_csp_packet_handler	8001f5c8	ICALL R6	(*(code *)PTR_call_csp_packet_handler_8001f670)(param_1,PTR_csp_service_handler_8001f66c); | (*param_2)(param_1,uVar1);	callback_arg_to_icall
80020f80	csp_service_handler	call_csp_packet_handler.arg2	8001f64e	gs_csp_ping_service_handler		call_csp_packet_handler	8001f5c8	ICALL R6	(*(code *)PTR_call_csp_packet_handler_8001f65c)(param_1,PTR_csp_service_handler_8001f658); | (*param_2)(param_1,uVar1);	callback_arg_to_icall
